Name M4A1 ACOG M203
ShortName m4a1acoggl
//The ammo this gun uses (shortName)
Ammo stanagmag
Ammo usgernade
Icon m4acoggl
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 27103
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
//Damage in half hearts
Damage 7
//The higher this value, the more the bullets spread
Accuracy 2
//Time in ticks between rounds
ShootDelay 3
ShootSound M14Shoot
ReloadSound mp44Reload
Mode FullAuto
Scope acogscope
ZoomLevel 4
Deployable False
DeployedModel None
ShapelessRecipe m4a1 acog usl
//Bullet speed, default 3.0
BulletSpeed 25
