Name M4A1 M203
ShortName m4a1gl
//The ammo this gun uses (shortName)
Ammo stanagmag
Ammo usgernade
Icon m4gl
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 27104
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
//Damage in half hearts
Damage 7
//The higher this value, the more the bullets spread
Accuracy 2
//Time in ticks between rounds
ShootDelay 3
ShootSound M14Shoot
ReloadSound mp44Reload
Mode FullAuto
Scope arscope
ZoomLevel 2
Deployable False
DeployedModel None
ShapelessRecipe m4a1 usl
//Bullet speed, default 3.0
BulletSpeed 25
